date,station,precipitation
2020-01-01T00:00:00,GHCND:US1CARV0067,0.0
2020-01-01T00:00:00,GHCND:US1CARV0072,0.0
2020-01-01T00:00:00,GHCND:US1CASA0002,0.0
2020-01-01T00:00:00,GHCND:US1CASA0005,0.0
2020-01-01T00:00:00,GHCND:US1CASA0006,0.0
2020-01-01T00:00:00,GHCND:US1CASA0007,0.0
2020-01-01T00:00:00,GHCND:US1CASA0008,0.0
2020-01-01T00:00:00,GHCND:US1CASA0012,0.0
2020-01-01T00:00:00,GHCND:US1CASA0029,0.0
2020-01-01T00:00:00,GHCND:US1CASA0031,0.3
2020-01-01T00:00:00,GHCND:US1CASA0045,0.0
2020-01-01T00:00:00,GHCND:US1CASA0051,0.0
2020-01-01T00:00:00,GHCND:US1CASA0058,0.0
2020-01-01T00:00:00,GHCND:US1CASA0061,0.0
2020-01-01T00:00:00,GHCND:US1CASA0062,0.0
2020-01-01T00:00:00,GHCND:US1CASB0001,0.0
2020-01-01T00:00:00,GHCND:US1CASB0005,0.0
2020-01-01T00:00:00,GHCND:US1CASB0007,0.0
2020-01-01T00:00:00,GHCND:US1CASC0001,0.0
2020-01-01T00:00:00,GHCND:US1CASC0003,0.0
2020-01-01T00:00:00,GHCND:US1CASC0005,0.0
2020-01-01T00:00:00,GHCND:US1CASC0011,0.0
2020-01-01T00:00:00,GHCND:US1CASC0012,0.0
2020-01-01T00:00:00,GHCND:US1CASC0015,0.0
2020-01-01T00:00:00,GHCND:US1CASC0032,0.0
2020-01-01T00:00:00,GHCND:US1CASC0040,0.0
2020-01-01T00:00:00,GHCND:US1CASC0042,0.0
2020-01-01T00:00:00,GHCND:US1CASC0048,0.3
2020-01-01T00:00:00,GHCND:US1CASC0052,0.0
2020-01-01T00:00:00,GHCND:US1CASC0053,0.0
2020-01-01T00:00:00,GHCND:US1CASC0054,0.0
2020-01-01T00:00:00,GHCND:US1CASC0057,0.0
2020-01-01T00:00:00,GHCND:US1CASC0070,0.0
2020-01-01T00:00:00,GHCND:US1CASD0001,0.0
2020-01-01T00:00:00,GHCND:US1CASD0007,0.0
2020-01-01T00:00:00,GHCND:US1CASD0009,0.0
2020-01-01T00:00:00,GHCND:US1CASD0010,0.0
2020-01-01T00:00:00,GHCND:US1CASD0011,0.0
2020-01-01T00:00:00,GHCND:US1CASD0012,0.0
2020-01-01T00:00:00,GHCND:US1CASD0014,0.0
2020-01-01T00:00:00,GHCND:US1CASD0018,0.0
2020-01-01T00:00:00,GHCND:US1CASD0022,0.0
2020-01-01T00:00:00,GHCND:US1CASD0024,0.0
2020-01-01T00:00:00,GHCND:US1CASD0027,0.0
2020-01-01T00:00:00,GHCND:US1CASD0029,0.0
2020-01-01T00:00:00,GHCND:US1CASD0030,0.0
2020-01-01T00:00:00,GHCND:US1CASD0035,0.0
2020-01-01T00:00:00,GHCND:US1CASD0040,0.0
2020-01-01T00:00:00,GHCND:US1CASD0049,0.0
2020-01-01T00:00:00,GHCND:US1CASD0052,0.0
2020-01-01T00:00:00,GHCND:US1CASD0053,0.0
2020-01-01T00:00:00,GHCND:US1CASD0055,0.0
2020-01-01T00:00:00,GHCND:US1CASD0057,0.0
2020-01-01T00:00:00,GHCND:US1CASD0059,0.0
2020-01-01T00:00:00,GHCND:US1CASD0060,0.0
2020-01-01T00:00:00,GHCND:US1CASD0076,0.0
2020-01-01T00:00:00,GHCND:US1CASD0080,0.0
2020-01-01T00:00:00,GHCND:US1CASD0090,0.0
2020-01-01T00:00:00,GHCND:US1CASD0097,0.0
2020-01-01T00:00:00,GHCND:US1CASD0099,0.0
2020-01-01T00:00:00,GHCND:US1CASD0101,0.0
2020-01-01T00:00:00,GHCND:US1CASD0104,0.0
2020-01-01T00:00:00,GHCND:US1CASD0105,0.0
2020-01-01T00:00:00,GHCND:US1CASD0114,0.0
2020-01-01T00:00:00,GHCND:US1CASD0117,0.0
2020-01-01T00:00:00,GHCND:US1CASD0120,0.0
2020-01-01T00:00:00,GHCND:US1CASD0123,0.0
2020-01-01T00:00:00,GHCND:US1CASD0128,0.0
2020-01-01T00:00:00,GHCND:US1CASD0130,0.0
2020-01-01T00:00:00,GHCND:US1CASD0131,0.0
2020-01-01T00:00:00,GHCND:US1CASD0132,0.0
2020-01-01T00:00:00,GHCND:US1CASD0133,0.0
2020-01-01T00:00:00,GHCND:US1CASD0146,0.0
2020-01-01T00:00:00,GHCND:US1CASD0147,0.0
2020-01-01T00:00:00,GHCND:US1CASD0148,0.0
2020-01-01T00:00:00,GHCND:US1CASD0172,0.0
2020-01-01T00:00:00,GHCND:US1CASD0173,0.0
2020-01-01T00:00:00,GHCND:US1CASD0180,0.0
2020-01-01T00:00:00,GHCND:US1CASD0184,0.0
2020-01-01T00:00:00,GHCND:US1CASD0185,0.0
2020-01-01T00:00:00,GHCND:US1CASD0186,0.0
2020-01-01T00:00:00,GHCND:US1CASD0191,0.0
2020-01-01T00:00:00,GHCND:US1CASD0195,0.0
2020-01-01T00:00:00,GHCND:US1CASD0197,0.0
2020-01-01T00:00:00,GHCND:US1CASD0199,0.0
2020-01-01T00:00:00,GHCND:US1CASD0203,0.0
2020-01-01T00:00:00,GHCND:US1CASF0004,0.0
2020-01-01T00:00:00,GHCND:US1CASF0017,0.3
2020-01-01T00:00:00,GHCND:US1CASH0006,0.0
2020-01-01T00:00:00,GHCND:US1CASH0010,0.0
2020-01-01T00:00:00,GHCND:US1CASH0011,0.0
2020-01-01T00:00:00,GHCND:US1CASH0018,0.0
2020-01-01T00:00:00,GHCND:US1CASH0051,0.0
2020-01-01T00:00:00,GHCND:US1CASH0056,0.0
2020-01-01T00:00:00,GHCND:US1CASH0068,0.0
2020-01-01T00:00:00,GHCND:US1CASH0069,0.0
2020-01-01T00:00:00,GHCND:US1CASH0071,0.0
2020-01-01T00:00:00,GHCND:US1CASH0077,0.0
2020-01-01T00:00:00,GHCND:US1CASJ0001,0.0
2020-01-01T00:00:00,GHCND:US1CASJ0005,0.0
2020-01-01T00:00:00,GHCND:US1CASJ0011,0.0
2020-01-01T00:00:00,GHCND:US1CASJ0014,0.0
2020-01-01T00:00:00,GHCND:US1CASJ0015,0.0
2020-01-01T00:00:00,GHCND:US1CASK0003,1.5
2020-01-01T00:00:00,GHCND:US1CASK0004,1.8
2020-01-01T00:00:00,GHCND:US1CASK0009,6.4
2020-01-01T00:00:00,GHCND:US1CASK0010,2.5
2020-01-01T00:00:00,GHCND:US1CASK0020,1.3
2020-01-01T00:00:00,GHCND:US1CASK0024,1.3
2020-01-01T00:00:00,GHCND:US1CASL0008,0.0
2020-01-01T00:00:00,GHCND:US1CASL0026,0.0
2020-01-01T00:00:00,GHCND:US1CASM0001,0.0
2020-01-01T00:00:00,GHCND:US1CASM0006,0.0
2020-01-01T00:00:00,GHCND:US1CASM0007,0.0
2020-01-01T00:00:00,GHCND:US1CASM0015,0.0
2020-01-01T00:00:00,GHCND:US1CASM0016,0.0
2020-01-01T00:00:00,GHCND:US1CASM0019,0.0
2020-01-01T00:00:00,GHCND:US1CASM0022,0.0
2020-01-01T00:00:00,GHCND:US1CASM0033,0.0
2020-01-01T00:00:00,GHCND:US1CASM0034,0.0
2020-01-01T00:00:00,GHCND:US1CASM0037,0.0
2020-01-01T00:00:00,GHCND:US1CASN0006,0.0
2020-01-01T00:00:00,GHCND:US1CASN0013,0.0
2020-01-01T00:00:00,GHCND:US1CASN0016,0.0
2020-01-01T00:00:00,GHCND:US1CASN0029,0.0
2020-01-01T00:00:00,GHCND:US1CASN0042,0.0
2020-01-01T00:00:00,GHCND:US1CASN0049,0.0
2020-01-01T00:00:00,GHCND:US1CASN0061,0.0
2020-01-01T00:00:00,GHCND:US1CASN0062,0.0
2020-01-01T00:00:00,GHCND:US1CASN0063,0.0
2020-01-01T00:00:00,GHCND:US1CASN0074,0.0
2020-01-01T00:00:00,GHCND:US1CASN0078,0.0
2020-01-01T00:00:00,GHCND:US1CASN0080,0.0
2020-01-01T00:00:00,GHCND:US1CASN0084,0.0
2020-01-01T00:00:00,GHCND:US1CASN0088,0.0
2020-01-01T00:00:00,GHCND:US1CASN0089,0.0
2020-01-01T00:00:00,GHCND:US1CASN0090,0.0
2020-01-01T00:00:00,GHCND:US1CASN0093,0.0
2020-01-01T00:00:00,GHCND:US1CASN0098,0.0
2020-01-01T00:00:00,GHCND:US1CASN0099,0.0
2020-01-01T00:00:00,GHCND:US1CASN0100,0.0
2020-01-01T00:00:00,GHCND:US1CASN0112,0.0
2020-01-01T00:00:00,GHCND:US1CASN0116,0.0
2020-01-01T00:00:00,GHCND:US1CASN0117,0.0
2020-01-01T00:00:00,GHCND:US1CASN0121,0.0
2020-01-01T00:00:00,GHCND:US1CASN0125,0.0
2020-01-01T00:00:00,GHCND:US1CASN0136,0.0
2020-01-01T00:00:00,GHCND:US1CASN0152,0.0
2020-01-01T00:00:00,GHCND:US1CASN0153,0.0
2020-01-01T00:00:00,GHCND:US1CASN0155,0.0
2020-01-01T00:00:00,GHCND:US1CASN0159,0.0
2020-01-01T00:00:00,GHCND:US1CASO0007,0.0
2020-01-01T00:00:00,GHCND:US1CASR0014,0.0
2020-01-01T00:00:00,GHCND:US1CASR0026,0.0
2020-01-01T00:00:00,GHCND:US1CASR0027,0.0
2020-01-01T00:00:00,GHCND:US1CASR0034,0.0
2020-01-01T00:00:00,GHCND:US1CASR0035,0.0
2020-01-01T00:00:00,GHCND:US1CASR0036,0.0
2020-01-01T00:00:00,GHCND:US1CASR0044,0.0
2020-01-01T00:00:00,GHCND:US1CASR0052,0.0
2020-01-01T00:00:00,GHCND:US1CASR0053,0.0
2020-01-01T00:00:00,GHCND:US1CASR0055,0.0
2020-01-01T00:00:00,GHCND:US1CASR0058,0.0
2020-01-01T00:00:00,GHCND:US1CASR0068,0.0
2020-01-01T00:00:00,GHCND:US1CASR0069,0.0
2020-01-01T00:00:00,GHCND:US1CASR0072,0.0
2020-01-01T00:00:00,GHCND:US1CASR0073,0.0
2020-01-01T00:00:00,GHCND:US1CASR0074,0.0
